기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	65세~79세	80세이상	계	65세~79세	80세이상	계	65세~79세	80세이상	계	65세~79세	80세이상
2019	양천구	신정7동	1,337	1,062	275	220	137	83	34	14	20	1,083	911	172
2019	양천구	목5동	316	208	108	5	2	3	2	-	2	309	206	103
2019	양천구	신정4동	1,211	874	337	521	350	171	64	31	33	626	493	133
2019	강서구	소계	19,498	14,692	4,806	5,956	4,113	1,843	1,373	774	599	12,169	9,805	2,364
2019	강서구	염창동	522	396	126	9	5	4	13	1	12	500	390	110
2019	강서구	등촌1동	668	383	285	61	45	16	16	11	5	591	327	264
2019	강서구	등촌2동	448	309	139	40	19	21	21	6	15	387	284	103
2019	강서구	등촌3동	2,339	1,561	778	1,330	845	485	184	120	64	825	596	229
2019	강서구	화곡본동	995	804	191	244	167	77	84	48	36	667	589	78
2019	강서구	화곡2동	565	463	102	188	131	57	34	24	10	343	308	35
2019	강서구	화곡3동	704	535	169	143	93	50	29	21	8	532	421	111
2019	강서구	화곡4동	737	594	143	199	141	58	34	23	11	504	430	74
2019	강서구	화곡6동	880	690	190	179	124	55	56	33	23	645	533	112
2019	강서구	화곡8동	845	692	153	171	128	43	20	16	4	654	548	106
2019	강서구	가양1동	534	391	143	43	21	22	32	15	17	459	355	104
2019	강서구	가양2동	1,348	998	350	571	390	181	88	47	41	689	561	128
2019	강서구	가양3동	1,116	821	295	619	433	186	59	35	24	438	353	85
2019	강서구	발산1동	732	581	151	192	125	67	51	29	22	489	427	62
2019	강서구	공항동	914	720	194	166	129	37	45	26	19	703	565	138
2019	강서구	방화1동	1,065	819	246	212	152	60	88	50	38	765	617	148
2019	강서구	방화2동	1,159	882	277	453	320	133	81	49	32	625	513	112
2019	강서구	방화3동	1,434	1,072	362	546	412	134	214	83	131	674	577	97
2019	강서구	화곡1동	1,762	1,406	356	481	356	125	180	114	66	1,101	936	165
2019	강서구	우장산동	731	575	156	109	77	32	44	23	21	578	475	103
2019	구로구	소계	14,414	10,815	3,599	2,718	1,860	858	686	392	294	11,010	8,563	2,447
2019	구로구	신도림동	590	424	166	41	28	13	18	9	9	531	387	144
2019	구로구	구로1동	329	232	97	21	12	9	10	3	7	298	217	81
2019	구로구	구로3동	760	554	206	91	59	32	55	31	24	614	464	150
2019	구로구	구로4동	1,187	875	312	253	162	91	54	35	19	880	678	202
2019	구로구	구로5동	917	681	236	128	85	43	30	18	12	759	578	181
2019	구로구	고척1동	835	632	203	136	106	30	28	15	13	671	511	160
2019	구로구	고척2동	1,055	782	273	225	149	76	56	34	22	774	599	175
2019	구로구	개봉2동	954	732	222	180	127	53	35	21	14	739	584	155
2019	구로구	개봉3동	809	598	211	170	113	57	41	27	14	598	458	140
2019	구로구	오류1동	925	693	232	220	155	65	54	28	26	651	510	141
2019	구로구	오류2동	1,381	1,068	313	283	193	90	82	41	41	1,016	834	182
2019	구로구	수궁동	857	665	192	138	90	48	62	35	27	657	540	117
2019	구로구	가리봉동	865	626	239	197	144	53	29	19	10	639	463	176
2019	구로구	구로2동	1,574	1,190	384	324	224	100	58	29	29	1,192	937	255
2019	구로구	개봉1동	1,376	1,063	313	311	213	98	74	47	27	991	803	188
2019	금천구	소계	10,540	8,080	2,460	2,609	1,889	720	869	541	328	7,062	5,650	1,412
2019	금천구	가산동	710	571	139	136	107	29	76	54	22	498	410	88
2019	금천구	독산1동	1,148	915	233	375	274	101	61	43	18	712	598	114
2019	금천구	독산2동	1,207	935	272	211	167	44	126	75	51	870	693	177
2019	금천구	독산3동	1,520	1,119	401	280	195	85	121	73	48	1,119	851	268
2019	금천구	독산4동	635	512	123	155	109	46	40	26	14	440	377	63
2019	금천구	시흥1동	1,446	1,127	319	386	275	111	110	66	44	950	786	164
2019	금천구	시흥2동	720	536	184	246	170	76	80	49	31	394	317	77
2019	금천구	시흥3동	579	449	130	91	74	17	35	22	13	453	353	100
